geometry_id,run_id,nLayers,seg1_layers,seg2_layers,seg3_layers,t_absorber_seg1,t_absorber_seg2,t_absorber_seg3,t_scin_seg1,t_scin_seg2,t_scin_seg3,t_spacer,gun_energy_GeV,detect_threshold_GeV,detection_efficiency,eff_lo,eff_hi,energy_resolution
55595ea2,runa91c1bfe74,10,3,3,4,3.7836,3.885,3.8866,0.3113,0.5657,0.3604,0.1,5.0,,0.6486666666666666,0.008764079455206852,0.008665001370124159,0.3858096811531023
55595ea2,run8166634d98,10,3,3,4,3.7836,3.885,3.8866,0.3113,0.5657,0.3604,0.1,5.0,,0.6596666666666666,0.008702679175224937,0.008596270200438738,0.3705370740453736
3d0a7e8a,run20dd836d30,10,3,3,4,4.3965,4.3491,3.6376,0.3278,0.5485,0.3934,0.1,5.0,,0.689,0.008513215621702153,0.008387257607706755,0.37388992224742196
3d0a7e8a,runa1fddc7656,10,3,3,4,4.3965,4.3491,3.6376,0.3278,0.5485,0.3934,0.1,5.0,,0.68,0.008575422520904596,0.008455462507575784,0.3813874051949143
3d0a7e8a,run10fa4f6502,10,3,3,4,4.3965,4.3491,3.6376,0.3278,0.5485,0.3934,0.1,5.0,,0.675,0.008608403581019886,0.008491775790283373,0.35867834730249537
34869d09,rund573d4def4,10,3,3,4,3.7114,3.545,4.2431,0.3983,0.3036,0.4527,0.1,5.0,,0.7273333333333334,0.008205342233704394,0.008053837179833434,0.37944462038653437
34869d09,run6c4b8b03da,10,3,3,4,3.7114,3.545,4.2431,0.3983,0.3036,0.4527,0.1,5.0,,0.7226666666666667,0.008246697863966479,0.008098302884515296,0.3578676024321913
34869d09,run4beb514dd1,10,3,3,4,3.7114,3.545,4.2431,0.3983,0.3036,0.4527,0.1,5.0,,0.7146666666666667,0.008315026571010464,0.008171963147707184,0.36383483259136773
cb378c36,run7288113f1e,10,3,3,4,3.8724,3.9697,4.115,0.5868,0.3181,0.3453,0.1,5.0,,0.6756666666666666,0.008604070528370644,0.00848699844128864,0.41299644113783396
cb378c36,rundb3cf7401b,10,3,3,4,3.8724,3.9697,4.115,0.5868,0.3181,0.3453,0.1,5.0,,0.6823333333333333,0.00855964769876616,0.008438132648227459,0.39476188595488015
