geometry_id,n_runs,nLayers,seg1_layers,seg2_layers,seg3_layers,t_absorber_seg1,t_absorber_seg2,t_absorber_seg3,t_scin_seg1,t_scin_seg2,t_scin_seg3,t_spacer,gun_energy_GeV,muon_threshold_GeV,detection_efficiency,detection_efficiency_std,eff_lo,eff_lo_std,eff_hi,eff_hi_std,energy_resolution,energy_resolution_std
608af040,3,10,3,3,4,4.0562,3.6774,3.7102,0.3138,0.4799,0.4371,0.1,5.0,,0.7154444444444445,0.015536098943118581,0.008304549163697198,0.0001282061845419184,0.00816096739465729,0.0001385579369254676,0.3791952509226249,0.012819815150255133
6112e9a9,3,10,3,3,4,3.6755,4.3059,3.8639,0.4085,0.4628,0.4848,0.1,5.0,,0.6835555555555555,0.007833924327587723,0.008550358984534046,5.379379338369373e-05,0.00842802939069498,5.901413922414851e-05,0.3534513660597141,0.0075278034814618665
619848c5,3,10,3,3,4,3.5756,4.2796,4.3308,0.3742,0.3643,0.3413,0.1,5.0,,0.6993333333333333,0.005044248650140531,0.008436792281852715,3.806982761103537e-05,0.008303947674499676,4.143148603176041e-05,0.39115224275213145,0.01823382314781293
61a5ff08,3,10,3,3,4,3.559,3.8951,4.0207,0.5718,0.3663,0.569,0.1,5.0,,0.6951111111111111,0.0076182043184097195,0.008467957001564552,5.562055821072332e-05,0.00833792627106733,6.069765103238119e-05,0.3752779230874908,0.014093947741525389
625a21d5,3,10,3,3,4,4.265,3.7483,4.1924,0.5905,0.4943,0.5905,0.1,5.0,,0.7128888888888888,0.006834010806525252,0.008329013456014852,5.574964398101176e-05,0.008187134822966588,6.0304131425198345e-05,0.36144168862031506,0.008458334203168045
6328b805,3,10,3,3,4,3.6653,4.3347,3.6054,0.5747,0.5388,0.3798,0.1,5.0,,0.6912222222222222,0.008234975094972338,0.008496238198015113,5.981331342718407e-05,0.00836879919620089,6.530097297542568e-05,0.3778898156248927,0.01541385150709564
689a9cf0,3,10,3,3,4,4.3528,4.3881,4.2542,0.3043,0.4315,0.5099,0.1,5.0,,0.6958888888888889,0.005014792931731899,0.00846269531267189,3.722145302987703e-05,0.00833214623643804,4.056341289638798e-05,0.3677430866037145,0.01410915131842007
6b18aaa6,3,10,3,3,4,4.1153,4.2021,3.5895,0.4443,0.5913,0.5809,0.1,5.0,,0.6972222222222223,0.008921468073842576,0.008451886156518706,6.621616435980345e-05,0.008320448487593501,7.216141615245426e-05,0.3624993732321762,0.007158085811511605
70a61a10,3,10,3,3,4,4.3829,4.1492,3.7444,0.3032,0.3888,0.5634,0.1,5.0,,0.7072222222222222,0.005003702332976763,0.00837535614361636,3.9957841918692325e-05,0.008237254029506258,4.3292415441273144e-05,0.3721781060409673,0.021025381164403778
7303f677,3,10,3,3,4,4.2959,3.9,4.1421,0.5892,0.346,0.3887,0.1,5.0,,0.7253333333333334,0.008452481555403952,0.008221974718562822,7.60353709317537e-05,0.008071802553728857,8.16683982163964e-05,0.3922975208036841,0.00753393778608397
74b1c79d,3,10,3,3,4,3.8815,4.138,3.7176,0.5116,0.4048,0.3485,0.1,5.0,,0.6948888888888889,0.013961587514531647,0.008467479801942365,0.00010141642766792875,0.008337597170226974,0.00011071958371849348,0.3834420918683714,0.009346940904728008
77b778da,3,10,3,3,4,3.9054,3.848,4.2746,0.5661,0.509,0.4728,0.1,5.0,,0.7007777777777777,0.009100264546419197,0.008424861294800653,6.872102416425145e-05,0.008291054045365343,7.478576548685744e-05,0.37826978564277014,0.0029084804270282315
790e3e81,3,10,3,3,4,3.876,4.2278,4.1117,0.487,0.5207,0.3441,0.1,5.0,,0.7094444444444444,0.0013877773329773935,0.00835788325275407,1.123999844593332e-05,0.008218300150825067,1.2164873943596017e-05,0.38053488691638276,0.0075339489285277126
7a0ea9c1,3,10,3,3,4,4.0965,3.7721,3.7961,0.3063,0.537,0.4425,0.1,5.0,,0.678,0.005291502622129186,0.00858833071236246,3.532903381551696e-05,0.008469703588070568,3.8855477796964956e-05,0.3699955866037392,0.003360727099176212
7b2c1da5,3,10,3,3,4,4.3592,3.5098,4.1613,0.3098,0.4197,0.46,0.1,5.0,,0.7094444444444444,0.0035642255405212006,0.008357708585874072,2.8639622009481134e-05,0.008218125483945146,3.101497974783706e-05,0.3842433156713037,0.014630173987605962
7c4ac019,3,10,3,3,4,4.3764,3.5359,4.0962,0.4528,0.3852,0.342,0.1,5.0,,0.7063333333333333,0.003333333333333355,0.008382652797442361,2.6447058445839147e-05,0.008245143078459805,2.8668505031512003e-05,0.38618607034652125,0.014394071943220258
7c94e0c0,3,10,3,3,4,4.4909,3.6365,3.8958,0.5688,0.4353,0.3546,0.1,5.0,,0.7050000000000001,0.008875684637129589,0.008392105720966528,6.955511720916293e-05,0.008255484594675325,7.546965060461983e-05,0.3976510008770194,0.014394013421618598
7f07873a,3,10,3,3,4,3.5713,3.7331,4.1489,0.3652,0.5698,0.4767,0.1,5.0,,0.707,0.0029627314724385407,0.008377390380593375,2.350642519199753e-05,0.008239436365265104,2.548091152474132e-05,0.37268392700354197,0.007197496861103752
7f22ea63,3,10,3,3,4,4.4723,4.3436,4.3757,0.4795,0.5263,0.3395,0.1,5.0,,0.6985555555555556,0.0034694433324435727,0.008442899739863563,2.61159998599504e-05,0.008310573478247077,2.8428172812532306e-05,0.3677910472290277,0.009914012969362921
822808dc,3,10,3,3,4,4.0813,3.8649,3.5437,0.5862,0.4389,0.4741,0.1,5.0,,0.702111111111111,0.001387777332977438,0.008415870299436726,1.0748929522584818e-05,0.008281174457310062,1.1673804972909542e-05,0.3755268933566547,0.018514819755303214
8475defc,3,10,3,3,4,4.3929,3.6012,3.6514,0.4205,0.5532,0.5014,0.1,5.0,,0.6928888888888888,0.007026405223894385,0.008484420913916916,5.1939767928495226e-05,0.008355871171238594,5.662247540850105e-05,0.3631131663231301,0.020167189959639554
8966462a,3,10,3,3,4,3.5527,4.4054,3.9101,0.4068,0.4724,0.49,0.1,5.0,,0.7036666666666666,0.0035276684147527975,0.00840361791726374,2.7681120577593074e-05,0.00826788538366389,3.003210364470288e-05,0.3673651525033015,0.03614739161294216
8befb9a7,3,10,3,3,4,3.9122,3.9336,4.0868,0.4728,0.3406,0.5949,0.1,5.0,,0.73,0.004255715111601227,0.00818089133311691,3.8973005736115746e-05,0.008027609093863316,4.1809160601133106e-05,0.36799635089967414,0.005557811735926765
